name,product_id,price
Karcher HD 5/11 Cage Classic Cold Water High Pressure Cleaners,1737787008,Rp 7.123.425
Karcher BDS 43/150 C Classic 1500 Watt Single-Disc Floor Polisher,1699335333,Rp 13.680.750
Karcher Angled Spray Lance For K 2 - K 5 Series,2208057338,Rp 888.000
Karcher Power Brush For VC4i / VC4s,1550045613,Rp 832.500
Karcher PC 15 Pipe Cleaning Kit,2507514485,Rp 1.387.500
Karcher PS 30 Plus Power Scrubber Surface Cleaner For K 2 - K 5 Series,2208552827,Rp 1.665.000
Karcher NT 27/1 *EU 27L Vacuum Cleaner Wet & Dry,1743514006,Rp 4.717.500
Karcher H 9 Q High Pressure Hose Quick Connect,9143650155,Rp 1.304.250
Karcher HEPA 12 Filter For VC 4i,2218823672,Rp 222.000
Karcher XH 10 Q Quick Connect Extension Hose For K 3 - K 5 Series,2208089259,Rp 1.478.000
Karcher DB 145 Dirt Blaster Lance For K4 Series,425614244,Rp 749.250
Karcher NT 70/2 ME Classic 2300W 70L Vacuum Cleaner Wet & Dry,417127209,Rp 8.491.500
"Karcher Cartridge Filter Paper For NT 70/2, NT 90/2",3787164565,Rp 943.500
"Karcher Paper Filter Bags Dust Class M For NT 48/1, NT 70/2",2825740974,Rp 582.750
Karcher Window Nozzle For Steam Cleaner,3150230235,Rp 310.800
Karcher HD 5/15 C Plus Cold Water High Pressure Cleaners,1737950997,Rp 16.039.500
Karcher Cartridge Filter For WD 1,426472408,Rp 294.150
Karcher Car Nozzle For Professional Wet & Dry Vacuum Cleaner,3293798534,Rp 271.950
Karcher T 12/1 Eco!efficiency *EU 12L Vacuum Cleaner Dry,1749580061,Rp 4.717.500
Karcher FC 5 Premium *EU 460 Watt Floor Care (white),427715189,Rp 5.594.400
Karcher WD 4 V-20/5/22 *EU Vacuum Cleaner Wet & Dry,8074647350,Rp 2.777.220
Karcher Fleece Filter Bags For NT 38/1,2922514197,Rp 310.800
Karcher NT 90/2 Me Classic *EU 2300W 90L Vacuum Cleaner Wet & Dry,1746884304,Rp 8.491.500
"Karcher Cartridge Filter Paper For NT 27/1, NT 38/1, NT 48/1",5538930287,Rp 388.500
Karcher Universal Stain Remover RM 769 500ml,2193565514,Rp 365.000
Karcher NT 48/1 *EU 1380W 48L Vacuum Cleaner Wet & Dry,1744055541,Rp 6.179.925
Karcher Single-Step Jet Pipe Extension For K 2 - K 5 Series,4090470579,Rp 333.000
Karcher VCS 5 Cordless *SEA Handheld Vacuum Cleaner,7411947409,Rp 5.894.100
Karcher WBS 3 *EU Cleaning Spray Gun,7083701525,Rp 574.425
Karcher Nozzle Household Kit For SE 6100 / WD2 - WD 5 Series,2217836231,Rp 888.000
Karcher HD 7/11-4 Classic *KAP Cold Water High Pressure Cleaners,1738120280,Rp 16.511.250
Bundling Karcher K 2.360 High Pressure Washer + HR 25 Hose Reel,11101156204,Rp 3.000.000
Karcher Standard Trigger Gun For Professional High Pressure Cleaner,3630517288,Rp 1.387.500
Karcher Point Jet Nozzle Black For SC 2,3291016459,Rp 72.150
Karcher Disc Brush For BDS 43/150 C Classic,2487125292,Rp 1.734.375
Karcher Puzzi 10/1 + Hand *EU 1250w Carpet Cleaner,1749361835,Rp 18.870.000
Karcher VP 145 Vario Power Jet Full Control For K4 - K5 Series,425619254,Rp 666.000
Karcher G 180 Q Quick Connect Trigger Gun,6467442133,Rp 638.250
Karcher Hose Complete For SE 6100,3516817317,Rp 2.220.000
"Karcher Disc Brush Medium Red 510 mm For BD 50/50, BD 50/60, BD 50/70",6333996160,Rp 2.775.000
Karcher Extension Suction Tube For WD 2 - WD 5 Series,5681297702,Rp 360.750
"Karcher Fleece Filter Bags For BV 5/1, BVL 5/1 Bp, T 7/1, T 9/1",3031598459,Rp 333.000
Karcher Puzzi 8/1 C With Hand Nozzle *EU 1200W Carpet Cleaner,1747232181,Rp 14.152.500
Karcher Long Life Filter For VC 5,1518067286,Rp 310.800
Karcher Paper Filter Bags For NT 27/1,8501067180,Rp 333.000
"Karcher Paper Filter Bags For T 15/1, T 17/1",2280966892,Rp 444.000
Karcher T 15/1 *EU 15L Vacuum Cleaner Dry,1749602299,Rp 6.934.725
Karcher HD 5/12 C *EU Cold Water High Pressure Cleaners,1737826295,Rp 14.388.375
Karcher Cup Foam Lance Advanced,5170576687,Rp 4.162.500
Karcher Connection Nozzle For SP 3,4880714295,Rp 44.400
Karcher High Pressure Hose 2 x EASY!Lock 315 Bar 15 Meter,4209698902,Rp 4.440.000
Karcher High Pressure Hose 2 x EASY!Lock 315 Bar 20 Meter,4209436574,Rp 7.631.250
Karcher Jet Pipe Packaged Only For Professional High Pressure Cleaner,3671647316,Rp 943.500
Karcher Dry Flat Filter Only For Replacement,3516424715,Rp 388.500
Karcher HDS 6/14 C *EU Hot Water High Pressure Cleaners,1740065086,Rp 55.100.400
Karcher HD 6/16-4 M Plus *EU Cold Water High Pressure Cleaners,1738026756,Rp 25.946.250
Karcher BV 5/1 *EU 800 Watt Vacuum Cleaner Dry,1737339611,Rp 8.963.250
Karcher AB 45 Classic *KAP 700 Watt Carpet Blower,1697162631,Rp 9.293.475
Karcher Fleece Filter Bags For NT 40/1 Ap L,11525037092,Rp 943.500
Karcher AF 100 Air Purifier,10783822469,Rp 14.152.500
Karcher HD 9/20-4 Classic Cold Water High Pressure Cleaners,10189316270,Rp 28.305.000
Karcher HD 6/15 G Classic Cold Water High Pressure Cleaners,10172148263,Rp 17.454.750
Karcher HD 9/50-4 Cage Cold Water High Pressure Cleaners,9000832011,Rp 169.830.000
Karcher DS 6 *EU 650 Watt Vacuum Cleaner Dry (Yellow),8837353160,Rp 6.893.100
Karcher Dirt Blaster with Rotating Pencil Jet,8653661440,Rp 2.220.000
Karcher Spray/Suction Gun Puzzi DN32 For Puzzi,8358755924,Rp 1.665.000
Karcher EASY!Force Advanced Gun For Professional High Pressure Cleaner,7789101139,Rp 3.330.000
Karcher Adapter Set Extension Hose,7018740429,Rp 416.250
"Karcher Disc Brush Hard Black 510 mm For BD 50/50, BD 50/60, BD 50/70",6360099584,Rp 9.990.000
"Karcher Pipe Cleaning Hose 250 Bar, 20 Meter For Professional Use",5541100260,Rp 6.660.000
Karcher Suction Hose Extension For WD 2 - WD 5 Series,5025902533,Rp 888.000
Karcher Power Nozzle Set For SC 2 / SC 3,3293164314,Rp 249.750
Karcher HEPA-14 Flat Pleated Filter,2825821002,Rp 2.497.500
Karcher SGV 8/5 *EU 3000 Watt Steam Vacuum Cleaner,1749553114,Rp 70.762.496
Karcher PC 100 M2 BIO *EU Parts Cleaner,1747100704,Rp 49.156.352
Karcher NT 75/1 Me Ec H Z22 *EU 1000W 75L Vacuum Cleaner Wet & Dry,1746756854,Rp 60.384.000
Karcher NT 70/2 *EU 2400W 70L Vacuum Cleaner Wet & Dry,1746680458,Rp 14.058.150
Karcher KM 75/40 W G Sweepers Walk-Behind Vacuum,1740488419,Rp 66.045.000
Karcher KM 70/20 C Sweepers Walk-Behind Vacuum,1740304245,Rp 14.860.125
Karcher IVC 60/24-2 Ap *EU Industrial Vacuum Cleaner,1740217820,Rp 55.666.500
Karcher HDS 8/18-4 C Classic *EU-I Hot Water High Pressure Cleaners,1740104896,Rp 66.846.976
Karcher HD 10/25-4 S Plus *EU-I Cold Water High Pressure Cleaners,1740030310,Rp 49.297.876
Karcher HD 9/20-4 M Plus *EU-I Cold Water High Pressure Cleaners,1738210307,Rp 31.843.124
Karcher HD 9/18-4 Cage Classic *KAP Cold Water High Pressure Cleaners,1738157889,Rp 24.531.000
Karcher HD 7/10 CXF *EU-I Cold Water High Pressure Cleaners,1738076243,Rp 35.664.300
Karcher CV 38/2 Adv *EU 850 Watt Carpet Vacuum Cleaner,1737746775,Rp 10.614.375
